Var1,group,specimen,gender,sname,vcount,ecount,tract_count,file,stat_path,label_path,scale
1,Air,S69221,F,Air-1,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69221NLSAMdsi_studio-results/nii4D_S69221NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69221NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69221NLSAMdsi_studio-results/labels/RCCF/S69221NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69221NLSAMdsi_studio-results/labels/RCCF/S69221NLSAM_RCCF_labels.nii.nii.gz,2.910566092
8,Air,S69235,F,Air-2,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69235NLSAMdsi_studio-results/nii4D_S69235NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69235NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69235NLSAMdsi_studio-results/labels/RCCF/S69235NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69235NLSAMdsi_studio-results/labels/RCCF/S69235NLSAM_RCCF_labels.nii.nii.gz,2.816021204
9,Air,S69237,F,Air-3,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69237NLSAMdsi_studio-results/nii4D_S69237NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69237NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69237NLSAMdsi_studio-results/labels/RCCF/S69237NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69237NLSAMdsi_studio-results/labels/RCCF/S69237NLSAM_RCCF_labels.nii.nii.gz,2.701247454
13,Air,S69245,F,Air-4,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69245NLSAMdsi_studio-results/nii4D_S69245NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69245NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69245NLSAMdsi_studio-results/labels/RCCF/S69245NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69245NLSAMdsi_studio-results/labels/RCCF/S69245NLSAM_RCCF_labels.nii.nii.gz,2.815536022
3,Air,S69225,M,Air-5,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69225NLSAMdsi_studio-results/nii4D_S69225NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69225NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69225NLSAMdsi_studio-results/labels/RCCF/S69225NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69225NLSAMdsi_studio-results/labels/RCCF/S69225NLSAM_RCCF_labels.nii.nii.gz,2.70801115
6,Air,S69231,M,Air-6,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69231NLSAMdsi_studio-results/nii4D_S69231NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69231NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69231NLSAMdsi_studio-results/labels/RCCF/S69231NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69231NLSAMdsi_studio-results/labels/RCCF/S69231NLSAM_RCCF_labels.nii.nii.gz,2.878205538
11,Air,S69241,M,Air-7,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69241NLSAMdsi_studio-results/nii4D_S69241NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69241NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69241NLSAMdsi_studio-results/labels/RCCF/S69241NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69241NLSAMdsi_studio-results/labels/RCCF/S69241NLSAM_RCCF_labels.nii.nii.gz,2.782595634
4,Fe,S69227,F,Fe-1,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69227NLSAMdsi_studio-results/nii4D_S69227NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69227NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69227NLSAMdsi_studio-results/labels/RCCF/S69227NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69227NLSAMdsi_studio-results/labels/RCCF/S69227NLSAM_RCCF_labels.nii.nii.gz,2.724910021
7,Fe,S69233,F,Fe-2,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69233NLSAMdsi_studio-results/nii4D_S69233NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69233NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69233NLSAMdsi_studio-results/labels/RCCF/S69233NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69233NLSAMdsi_studio-results/labels/RCCF/S69233NLSAM_RCCF_labels.nii.nii.gz,2.790108919
12,Fe,S69243,F,Fe-3,360,129600,2000000,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69241NLSAMdsi_studio-results/nii4D_S69241NLSAM.src.odf8.f3.bal.012fy.rdi.gqi.0.9.fib.gz.2000K.trk.gz.S69241NLSAM_RCCF_labels.count.pass.connectivity.mat,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69243NLSAMdsi_studio-results/labels/RCCF/S69243NLSAM_RCCF_measured_in_native_space_stats.txt,/Volumes/dusom_civm-kjh60/All_Staff/21.DAS.01/connectomeS69243NLSAMdsi_studio-results/labels/RCCF/S69243NLSAM_RCCF_labels.nii.nii.gz,2.852984667
